model,year,kilometers,engine,price,description
Mitsubishi Lancer,2017,68000,Gasolina,8400,"Color : Azul Vendo Mitsubishi Lancer 2017 Full Extras. Color azul. Cámara de retroceso, automático. Con rines. En perfectas condiciones. Cero código. A toda prueba. Precio $8,400"
Mitsubishi Mirage G4,2018,60000,Gasolina,8400,"Color : Blanco Se vende Mitsubishi G4 2018. Automático A/C. Bolsas buenas, cero código. Color blanco. Motor 1.2 Super económico. Cámara de retroceso, paquete eléctrico En perfectas condiciones. Precio $8,400"
Nissan Sentra,2015,16100,Gasolina,7200,"Precio negociable: si Color : Rojo DESCRIPCIÓN CALIFICACIONES SEGURIDAD se vende Nissan Sentra full extra año 2015, a toda prueba. el motivo de venta es por viaje fuera del país, precio poco negociable"
Hyundai Elantra,2015,98000,Gasolina,9100,"Financiamiento: no Precio negociable: si Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD HYUNDAI ELANTRA 2015 SPORT LIMITED - AUTOMATICO SECUENCIAL - MOTOR 2.0 - SISTEMA ECO - SUNROOF - ENCENDIDO DE APROXIMACIÓN/ BOTÓN - SENSORES DE APROXIMACION EN PUERTAS DELANTERAS Y BAUL - ASIENTOS DE CUERO - ASIENTO DE CONDUCTOR ELECTRICO CON RESPALDO LUMBAR - PANTALLA TACTIL - CAMARA DE RETROCESO DE FABRICA - MANDOS AL TIMOON - BLUETOOTH, CD, AUX, USB - HALOGENOS - STOPS LED - ODOMETRO: 98,XXX MILLAS - RINES ESPECIALES DE LUJO - VIAS EN RETROVISORES - DETALLES CROMADOS - CALEFACCION EN ASIENTOS - LLANTAS COMO NUEVAS - CERO RUIDOS DE SUSPENSION - CERO FUGAS - TRASPASO DIRECTO - $9,100.00 NEG - INFO /"
Kia Rio,2019,107000,Gasolina,7699,"Precio negociable: si Kia Rio 2019 en camino al país, bolsas frontales buenas, motor intacto, millaje real de 107.000, a reservar. 7.699 Contacto: Síguenos en Instagram y en Facebook como DM Motors"
Nissan Sentra,2019,49000,Gasolina,8500,Precio negociable: si WhatsApp 7435- 5520 50 mil millas Motor 1.8 Automático Aire acondicionado 100% Camara de retroceso Encendido con llave Precio $8500 poco negociable Traspaso directo
Toyota Corolla,2007,128,Gasolina,5500,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD Se vende toyota corolla CE, suspensión suave, vidrios manuales , aire acondicionado al 100%, sometido a toda prueba mecánica, traspaso directo. Se muestra en San Miguel precio fijo"
Kia Forte,2018,69038,Gasolina,8950,Color : negro Vendo kia forte 2018 motor 2.0 con eco ya esta en aduana nejapa 69mil millas bolsas buenas golpe leve puede verlo sin compromiso se vende reparado o chocado se entrega con poliza. reparado $8950 y chocado $7600
Hyundai Accent,2007,155000,Gasolina,4600,"Precio negociable: si Color : Gris rata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Accent 2007 sedan , aire acondicionado, 4 puertas, motor y caja sin detalles . Detalles de pintura y motor con poliza 1 compra venta a mi nombre Precio poco negociable. , contactarse al al whatsapp o llamadas"
Hyundai Elantra,2015,150365,Gasolina,7975,"Color : ROJO DESCRIPCIÓN CALIFICACIONES SEGURIDAD Hyundai ELANTRA 2015, muy espacioso y confortable, amplio baúl, Automático y Secuencial, Motor 1.8, Sistema ECO drive, 150,355 Millas, con modos de manejo Normal, Confort y Sport. Vidrios eléctricos, asiento ajustable, sin códigos activo, pantalla táctil con Bluetooth, amplia cámara de retroceso, mandos al timón, rines originales de fábrica, aire acondicionado funcionando 100%, pintura en muy buenas condiciones, mantenimiento al día, Precio $7975 negociables. Se muestra en Antiguo Cuscatlán. Tel:"
