model,year,kilometers,engine,price,description
Nissan Sentra,2019,0,Gasolina,9600,"Financiamiento: no Precio negociable: si Funcionando al 100 Bolsas intactas, nunca reparadas Rines especiales Sistema Eco, hasta 20 kilómetros por Litro Cámara de retroceso CarPlay Android Auto Pantalla táctil Cámara de retroceso Llave de proximidad Sistema inteligente anticolisión frontal Mandos al timón Control de crucero Sistema de sensor de luz automática Sistema de Aire Acondicionado de Doble Zona"
Hyundai Elantra,2018,78000,Gasolina,9900,"Precio negociable: si Color : AZUL $9,900.00 poco negociable, se acepta vehículo a cuenta! Pantalla con cámara de fábrica, rines especiales, mandos la timón, todos sus sensores, a toda prueba! Tiene 78,000 millas. Traspaso directo! Mayor información llamar"
Ford Focus,2007,200000,Gasolina,3000,"Garantía: Como es visto no hay garantía Color : Gris Plata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Ford Focus 2007 sedan 4 puertas automatico. En buen estado, bien cuidado."
Toyota Corolla,2014,71015,Gasolina,9950,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : BLANCO DESCRIPCIÓN CALIFICACIONES SEGURIDAD ¡VEHÍCULO EN CAMINO! TOYOTA COROLLA SE 2014 PRECIO: $9,950.00 (01–3809). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Enlace pagina web: CARACTERÍSTICAS: - Arranca y rueda. - 71,015 millas actuales. - Botón de encendido. - Llave presente de aproximación - Bolsas buenas. - Sunroof. - Mandos al timón. - Conexion bluetooth . - Paquete electrico. - Pantalla touch Android. - Cámara de retroceso. - Transmisión automática. - Motor 1.8 L de 4 cilindros. - Rines especiales. - halógenos. - Full extras. PRECIO: $9,950.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #TOYOTA #toyota #toyotacorolla #toyotacorolla2020 #ToyotaCorollaLe #toyotacorollale #CorollaLE #corollale #corollaSE"
Toyota Corolla,2020,72668,Gasolina,12950,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : NEGRO ¡VEHÍCULO EN CAMINO! TOYOTA COROLLA LE 2020 PRECIO: $12,950.00 (01–1135). Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Enlace pagina web: CARACTERÍSTICAS: - Arranca. - Llave presente. - Bolsas frontales buenas. - 72,668 millas actuales. - Mandos al timón. - Conexion bluetooth . - Paquete electrico. - Pantalla touch. - Cámara de retroceso. - Transmisión automática. - Motor 1.8 L de 4 cilindros. PRECIO: $12,950.00 FUERA DE ADUANA. PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #TOYOTA #toyota #toyotacorolla #toyotacorolla2020 #ToyotaCorollaLe #toyotacorollale #CorollaLE #corollale #corolla"
Nissan Sentra,2015,55900,Gasolina,6800,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Nissan Sentra 2015, en perfecto estado"
Mitsubishi Lancer,2002,10,Gasolina,4500,"Color : Blanco Lancer Oz ralli art 2002 4,500 Poco Negociable Motor 2.0 inyectado, cero fugas Standar Vidrios eléctricos Cierre central Coilovers Pantalla táctil Traspaso directo Detalles estéticos de pintura Santa Ana"
Hyundai Elantra,2008,115000,Gasolina,5900,"Garantía: Garantía de fabrica restante. Financiamiento: no Precio negociable: si Color : GRIS DESCRIPCIÓN CALIFICACIONES SEGURIDAD HYUNDAI ELANTRA 2008 AUTOMATICO BOLSAS BUENAS secuencial full extras, 144.000 millas originales comprobables, aire acondicionado nítido, polarizado completo, mandos al timon, rines normales con llantas casi nuevas, amplio baúl, tapicería de tela nítida, alfombras para agua y polvo, herramientas completas, halógenos de fabrica, cd player mp3 con entradas USB y AUX., paquete eléctrico, apertura de baúl eléctrica, llave con alarma y mando a distancia, mantenimiento al día, herramientas de llanta completas, sistema de frenos ABS, a toda prueba mecánica y de manejo, SOLO EFECTIVO $5.900 POCO NEG Puedes llamar o escribir al y haz tu cita"
Honda Civic,2008,195000,Gasolina,5800,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Honda Civic deportivo en excelente estado, pintura, tapicería, a/c, motor, mantenimiento al día."
Nissan Versa,2018,78720,Gasolina,8300,"Precio negociable: si Color : Gris NISSAN VERSA 2018 edición especial # llamadas y mensajes MOTOR 1.6 78,700millas ALÓGENOS AIRE ACONDICIONADO AL 100% AUTOMÁTICO VIDRIOS Y ESPEJOS ELÉCTRICOS CD PLAYER CÁMARA DE RETROCESO RINES ESPECIALES SISTEMA ECO $8,300"
Nissan Versa,2013,67000,Gasolina,6300,"Color : Negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Nissan Versa 2013, super económico, automático, vidrios electricos, aire acondicionado, motor séquito, cambios de aceite al día cero detalles, bolsas buenas. En perfecto estado. Millas originales."
