model,year,kilometers,engine,price,description
Volkswagen Jetta GLI,2014,78000,Gasolina,9000,Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Gris plateado DESCRIPCIÓN CALIFICACIONES SEGURIDAD Motor 2.0 Turbo GLI Asientos de cuero Rin 17 Especial Rooftop automático Sonido Fender Silvines especiales Poco millaje: 48 Mil Millas o 78 Mil Km
Chevrolet Sonic,2013,0,Gasolina,5100,Color : Gris oscuro DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Chevrolet sonic 2013 Standar
Hyundai Accent,2017,114000,Gasolina,7800,"Precio negociable: si DESCRIPCIÓN SEGURIDAD Vendo Hyundai Accent 2017 SE, Motor 1.6 con Sistema ECO, Bolsas Buenas, Transmisión Automática, Motor y Caja a Todo Tipo de Prueba, Suspensión y Dirección al 100%, Rines Especiales, Cero Códigos, Mantenimiento al Día, Pintura y Tapicería en Excelentes Condiciones, A/C Funcionando Nítido. Precio Negociable. Traspaso Directo"
Nissan Sentra,2019,70,Gasolina,9900,Precio negociable: si Color : Negro Se vende nissan santra 2019 ventanas eléctricas manteniendo al dia en caja de trasmision y motor solo de subir.. con pocas millas apenas entro al pais trae sus libros manuales de fabrica aun.. en muy buen estado ami nombre solo de aser compraventa. Negociable .. acepto ofertas.. también acepto carro de menos precio y que me den rivete..
Nissan Sentra,2017,122,Gasolina,6100,"Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD Bonito y elegante Nissan Sentra 2017 Modelo SV, 4 puertas, 5 pasajeros, motor 1.8 L L4 DOHC 16 válvulas, automático (transmisión variable con modo secuencial), golpe al frente, todas sus bolsas de aire con excepción de la del conductor, color azul y con detalles de cromo en las puertas. Comprado en Florida, de camino, Reserva $1,900. Sólo interesados . Precio incluye todo."
Mazda 6,2006,60000,Gasolina,3400,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : GRIS DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Mazda 6, para conocedores y amantes del modelo. Tiene detalles como todo carro de su año. Puntos a favor, recientemente se le cambio: 1 Motor (Cambio aún no realizado, por lo cual entrego póliza y factura). 2 Manifull de motor 3 Válvula de aire del colector 4 Radiador 5 Motor de arranque 6 Tijera delantera superior derecha 7 Bomba de gasolina 8 Batería, con garantía de 24 meses. 12 meses 100% de cobertura. Fascinante poder de desplazamiento y potencia. Caja secuencial ideal para conducción placentera/relajada ó para movilizarse con rapidez y en modo experto. Poco negociable, traiga a su mecánico para que se lo vea. *Interesados puedo mostrarlo en Centro Comercial de Ciudad Marsella ó a ponernos de acuerdo. WhatsApp"
Honda Civic,2018,85000,Gasolina,12500,"Color : Azul - Honda Civic Full Extras (EX) - 2018 - Cuatro puertas - Color Azul perlado - Camara de retroceso - Camara lateral de punto ciego - Pantalla multimedia Honda Original de Fabrica - Aire acondicionado en perfecto estado - Android Auto - Apple Play Car - 4 Puertas - Pantalla central para vision de camara de retroceso y lateral - Camara trasera con tres diferentes enfoques para mejorar - Sunroof con tres diferentes tipos de aperturas - Espejos electronicos en todas las puertas con mando central en el piloto - Mando central con alarma - Posibilidad de programar encendido automatico con control - Modulo central en asientos traseros para bebidas (Se puede ocultar) - Modulos traseros super comodos y espaciosos para personas con chofer - Boton de apertura de contenedor de baggage en control y en el conductor - Rines especiales - Mandos centrales en el volante - Funciones inteligentes en volante (Blueetoh, volumen, canciones, selector de dispositivos mobiles, radio, navegacion) - Funcion de crucero en volante con selector de velocidad (frenado, bajar velocidad, subir velocidad, stop, acelerar y frenar) - Automatico - Modo eco (boton cerca de palanca de velocidades) 2RPM como promedio - Modo SPORT (Cuidado! SUPER POTENTE) 4RPM como minimo - Modo L para subidas o momentos de atasco - Sistema automatico de destrampe, solo se necesita acelerar suave hasta que el sistema detecte que llanta no tiene contacto con el suelo y distribuye la fuerza a la que tiene contacto con el suelo - Sistema BRAKE HOLD para trafico, mantiene el freno en trafico y se desactiva al acelerar (no se necesita mantener el freno con el pie y funciona en cuestas) - Sonido premiun de fabrica con bajos increibles, controlados desde la pantalla central en ajustes - Luces led Honda - Freno de mano central de facil accion -Boton de apagado y encendido remoto no necesita llave - Motor 2.0 super economico, rapido y potente en cuestas - Sistema de frenos inteligente ABS - Polarizado especial en todas las cuatro ventanas laterales Tel"
Honda Civic,2015,61065,Gasolina,14500,"Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD De agencia, mantenimiento en agencia, no chocado, un solo dueño."
Nissan Sentra,2015,72000,Gasolina,7000,"Color : NEGRO DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Nissan Sentra, Millaje 72000 Aire acondicionado ,Bluetooth, Aux de Usb, cámara de retroceso de fabrica Motor 1.8 con modo eco y modo sport Cómodo en perfecto estado Se muestra en Gasolinera Puma de la 49av antes de metro previa coordinación, $7,200 negociables"
Ford Fiesta,2017,125367,Gasolina,6300,"Precio negociable: si Color : Negro DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Se vende Ford Fiesta S 2017 motor 1.6 económico, 77,900 millas reales, se proporciona VIN para revisar, motor trabajando perfecto, precio negociable."
